"","Countsort-1000"
"10","0.000005"
"20","0.000005"
"30","0.000004"
"40","0.000002"
"50","0.000005"
"60","0.000005"
"70","0.000006"
"80","0.000012"
"90","0.000006"
"100","0.000004"
"250","0.000006"
"500","0.000010"
"750","0.000012"
"1000","0.000010"
"2500","0.000015"
"5000","0.000017"
"7500","0.000020"
"10000","0.000024"
"25000","0.000048"
"50000","0.000103"
"75000","0.000124"
"100000","0.000229"
"250000","0.000469"
"500000","0.001174"
"750000","0.001791"
"1000000","0.002350"
"2500000","0.006429"
"5000000","0.011717"
"7500000","0.020565"
"10000000","0.022104"
"25000000","0.052679"
"50000000","0.105787"
"75000000","0.169425"
"100000000","0.210931"
"250000000","0.546256"
"500000000","1.242750"
