"","Countsort-1000000"
"10","0.002921"
"20","0.001666"
"30","0.001471"
"40","0.001872"
"50","0.001732"
"60","0.001875"
"70","0.002399"
"80","0.001733"
"90","0.001874"
"100","0.002055"
"250","0.001498"
"500","0.001534"
"750","0.001431"
"1000","0.001470"
"2500","0.001468"
"5000","0.001559"
"7500","0.001474"
"10000","0.001712"
"25000","0.001679"
"50000","0.002145"
"75000","0.002333"
"100000","0.002638"
"250000","0.004199"
"500000","0.008126"
"750000","0.011063"
"1000000","0.013136"
"2500000","0.024021"
"5000000","0.044382"
"7500000","0.066218"
"10000000","0.101355"
"25000000","0.144449"
"50000000","0.344041"
"75000000","0.390957"
"100000000","0.536833"
"250000000","1.402455"
"500000000","4.511131"
