"","Countsort-100"
"10","0.000000"
"20","0.000000"
"30","0.000000"
"40","0.000001"
"50","0.000001"
"60","0.000001"
"70","0.000001"
"80","0.000001"
"90","0.000001"
"100","0.000001"
"250","0.000001"
"500","0.000002"
"750","0.000002"
"1000","0.000003"
"2500","0.000005"
"5000","0.000010"
"7500","0.000015"
"10000","0.000021"
"25000","0.000053"
"50000","0.000104"
"75000","0.000157"
"100000","0.000207"
"250000","0.000528"
"500000","0.001150"
"750000","0.001743"
"1000000","0.002247"
"2500000","0.005942"
"5000000","0.011915"
"7500000","0.017772"
"10000000","0.023807"
"25000000","0.059375"
"50000000","0.118872"
"75000000","0.181672"
"100000000","0.245834"
"250000000","0.599401"
"500000000","1.199581"
