"","Radixsort-100"
"10","0.000000"
"20","0.000000"
"30","0.000001"
"40","0.000001"
"50","0.000001"
"60","0.000001"
"70","0.000001"
"80","0.000001"
"90","0.000001"
"100","0.000001"
"250","0.000003"
"500","0.000005"
"750","0.000007"
"1000","0.000010"
"2500","0.000029"
"5000","0.000048"
"7500","0.000069"
"10000","0.000092"
"25000","0.000246"
"50000","0.000497"
"75000","0.000745"
"100000","0.000962"
"250000","0.002574"
"500000","0.004884"
"750000","0.007699"
"1000000","0.010297"
"2500000","0.025972"
"5000000","0.054477"
"7500000","0.083712"
"10000000","0.113347"
"25000000","0.279948"
"50000000","0.548069"
