"","Heapsort-1000000"
"10","0.000000"
"20","0.000001"
"30","0.000001"
"40","0.000001"
"50","0.000002"
"60","0.000002"
"70","0.000002"
"80","0.000003"
"90","0.000003"
"100","0.000003"
"250","0.000010"
"500","0.000022"
"750","0.000035"
"1000","0.000051"
"2500","0.000139"
"5000","0.000311"
"7500","0.000473"
"10000","0.000662"
"25000","0.001781"
"50000","0.003797"
"75000","0.005975"
"100000","0.008156"
"250000","0.022964"
"500000","0.048850"
"750000","0.075989"
"1000000","0.111648"
"2500000","0.301868"
"5000000","0.729975"
"7500000","1.337397"
"10000000","2.089768"
