"","Mergesort-1000000"
"10","0.000000"
"20","0.000001"
"30","0.000001"
"40","0.000001"
"50","0.000004"
"60","0.000002"
"70","0.000002"
"80","0.000003"
"90","0.000003"
"100","0.000003"
"250","0.000009"
"500","0.000020"
"750","0.000029"
"1000","0.000042"
"2500","0.000115"
"5000","0.000249"
"7500","0.000391"
"10000","0.000528"
"25000","0.001446"
"50000","0.003085"
"75000","0.004856"
"100000","0.006573"
"250000","0.018100"
"500000","0.037577"
"750000","0.058945"
"1000000","0.080493"
"2500000","0.214656"
"5000000","0.447161"
"7500000","0.672237"
"10000000","0.911315"
"25000000","2.389816"
"50000000","4.872011"
