"","Quicksort-1000000"
"10","0.000000"
"20","0.000001"
"30","0.000001"
"40","0.000001"
"50","0.000002"
"60","0.000002"
"70","0.000002"
"80","0.000003"
"90","0.000003"
"100","0.000004"
"250","0.000010"
"500","0.000022"
"750","0.000032"
"1000","0.000045"
"2500","0.000122"
"5000","0.000259"
"7500","0.000405"
"10000","0.000563"
"25000","0.001490"
"50000","0.003162"
"75000","0.004801"
"100000","0.006617"
"250000","0.017843"
"500000","0.037379"
"750000","0.057799"
"1000000","0.078131"
"2500000","0.202873"
"5000000","0.405748"
"7500000","0.600533"
"10000000","0.811017"
"25000000","2.004743"
