Column1,Bubblesort-100,Countsort-100,Heapsort-100,Insertionsort-100,Mergesort-100,Quicksort-100,Radixsort-100,Selectionsort-100,Shellsort-100,Bubblesort-1000000,Countsort-1000000,Heapsort-1000000,Insertionsort-1000000,Mergesort-1000000,Quicksort-1000000,Radixsort-1000000,Selectionsort-1000000,Shellsort-1000000,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9
10,0.000003,0,0,0,0,0,0,0,0,0.000003,0.000828,0,0,0,0,0.000001,0,0,1,0,,,,,0,,
20,0.000009,0,0.000001,0,0.000001,0.000001,0,0.000001,0.000001,0.000005,0.001086,0.000001,0,0.000001,0.000001,0.000001,0.000001,0.000001,1.8,0,1,,1,1,0,1,1
30,0.000008,0,0.000001,0,0.000001,0.000001,0.000001,0.000001,0.000001,0.000009,0.001119,0.000001,0,0.000001,0.000001,0.000001,0.000001,0.000001,0.888888889,0,1,,1,1,1,1,1
40,0.000003,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000005,0.001196,0.000001,0.000001,0.000001,0.000001,0.000002,0.000001,0.000001,0.6,0.00083612,1,1,1,1,0.5,1,1
50,0.000005,0.000001,0.000002,0.000001,0.000002,0.000002,0.000001,0.000002,0.000001,0.000005,0.001503,0.000002,0.000001,0.000004,0.000002,0.000002,0.000002,0.000001,1,0.000665336,1,1,0.5,1,0.5,1,1
60,0.000007,0.000001,0.000002,0.000001,0.000002,0.000002,0.000001,0.000002,0.000002,0.000007,0.001484,0.000002,0.000001,0.000002,0.000002,0.000002,0.000002,0.000002,1,0.000673854,1,1,1,1,0.5,1,1
70,0.000009,0.000001,0.000003,0.000001,0.000002,0.000002,0.000001,0.000003,0.000002,0.000009,0.001581,0.000002,0.000001,0.000002,0.000002,0.000002,0.000003,0.000002,1,0.000632511,1.5,1,1,1,0.5,1,1
80,0.000011,0.000001,0.000003,0.000001,0.000002,0.000003,0.000001,0.000003,0.000002,0.000011,0.001525,0.000003,0.000001,0.000003,0.000003,0.000003,0.000003,0.000002,1,0.000655738,1,1,0.666666667,1,0.333333333,1,1
90,0.000015,0.000001,0.000003,0.000001,0.000003,0.000003,0.000001,0.000004,0.000003,0.000014,0.001193,0.000003,0.000001,0.000003,0.000003,0.000003,0.000004,0.000002,1.071428571,0.000838223,1,1,1,1,0.333333333,1,1.5
100,0.000017,0.000001,0.000008,0.000001,0.000003,0.000003,0.000001,0.000005,0.000003,0.000017,0.000997,0.000003,0.000001,0.000003,0.000004,0.000003,0.000005,0.000003,1,0.001003009,2.666666667,1,1,0.75,0.333333333,1,1
250,0.000084,0.000001,0.00001,0.000004,0.000008,0.000009,0.000003,0.000017,0.000009,0.000089,0.000974,0.00001,0.000005,0.000009,0.00001,0.000007,0.000018,0.000009,0.943820225,0.001026694,1,0.8,0.888888889,0.9,0.428571429,0.944444444,1
500,0.000226,0.000002,0.000023,0.000013,0.000018,0.00002,0.000005,0.000058,0.000018,0.00024,0.001144,0.000022,0.000013,0.00002,0.000022,0.000014,0.000056,0.00002,0.941666667,0.001748252,1.045454545,1,0.9,0.909090909,0.357142857,1.035714286,0.9
750,0.000352,0.000002,0.000037,0.000025,0.00003,0.000028,0.000007,0.000108,0.000027,0.000379,0.001154,0.000035,0.000026,0.000029,0.000032,0.00002,0.000115,0.000033,0.928759894,0.001733102,1.057142857,0.961538462,1.034482759,0.875,0.35,0.939130435,0.818181818
1000,0.000522,0.000003,0.000053,0.00004,0.00004,0.000037,0.00001,0.000175,0.000037,0.000568,0.000964,0.000051,0.000044,0.000042,0.000045,0.000028,0.000196,0.000046,0.919014085,0.003112033,1.039215686,0.909090909,0.952380952,0.822222222,0.357142857,0.892857143,0.804347826
2500,0.0024,0.000005,0.000153,0.000222,0.000105,0.000089,0.000029,0.000995,0.000105,0.002525,0.000994,0.000139,0.000236,0.000115,0.000122,0.000069,0.001036,0.000134,0.95049505,0.005030181,1.100719424,0.940677966,0.913043478,0.729508197,0.420289855,0.96042471,0.78358209
5000,0.010605,0.00001,0.000311,0.000854,0.000214,0.000172,0.000048,0.003912,0.000226,0.010803,0.001011,0.000311,0.000879,0.000249,0.000259,0.000136,0.003914,0.0003,0.981671758,0.009891197,1,0.971558589,0.859437751,0.664092664,0.352941176,0.999489014,0.753333333
7500,0.033068,0.000015,0.0005,0.001885,0.000325,0.00025,0.000069,0.00848,0.00035,0.034607,0.001044,0.000473,0.001935,0.000391,0.000405,0.000205,0.008818,0.000477,0.955529228,0.014367816,1.057082452,0.974160207,0.831202046,0.617283951,0.336585366,0.961669313,0.733752621
10000,0.072049,0.000021,0.000639,0.003315,0.000418,0.000336,0.000092,0.015012,0.000483,0.075017,0.001031,0.000662,0.003564,0.000528,0.000563,0.000275,0.01583,0.000687,0.960435635,0.020368574,0.965256798,0.93013468,0.791666667,0.596802842,0.334545455,0.948325963,0.703056769
25000,0.583322,0.000053,0.001683,0.022461,0.001096,0.00081,0.000246,0.095739,0.001276,0.606052,0.001181,0.001781,0.023343,0.001446,0.00149,0.000687,0.093955,0.002016,0.962494967,0.044877223,0.944974733,0.962215654,0.757952974,0.543624161,0.358078603,1.018987813,0.632936508
50000,2.512223,0.000104,0.003476,0.093115,0.00221,0.001642,0.000497,0.37383,0.002611,2.578704,0.001382,0.003797,0.097774,0.003085,0.003162,0.001421,0.374728,0.004348,0.97421922,0.075253256,0.915459573,0.952349295,0.71636953,0.519291588,0.349753695,0.997603595,0.60050598
