Column1,Bubblesort-1000000,Countsort-1000000,Heapsort-1000000,Insertionsort-1000000,Mergesort-1000000,Quicksort-1000000,Radixsort-1000000,Selectionsort-1000000,Shellsort-1000000
10,0.000003,0.000828,0,0,0,0,0.000001,0,0
20,0.000005,0.001086,0.000001,0,0.000001,0.000001,0.000001,0.000001,0.000001
30,0.000009,0.001119,0.000001,0,0.000001,0.000001,0.000001,0.000001,0.000001
40,0.000005,0.001196,0.000001,0.000001,0.000001,0.000001,0.000002,0.000001,0.000001
50,0.000005,0.001503,0.000002,0.000001,0.000004,0.000002,0.000002,0.000002,0.000001
60,0.000007,0.001484,0.000002,0.000001,0.000002,0.000002,0.000002,0.000002,0.000002
70,0.000009,0.001581,0.000002,0.000001,0.000002,0.000002,0.000002,0.000003,0.000002
80,0.000011,0.001525,0.000003,0.000001,0.000003,0.000003,0.000003,0.000003,0.000002
90,0.000014,0.001193,0.000003,0.000001,0.000003,0.000003,0.000003,0.000004,0.000002
100,0.000017,0.000997,0.000003,0.000001,0.000003,0.000004,0.000003,0.000005,0.000003
250,0.000089,0.000974,0.00001,0.000005,0.000009,0.00001,0.000007,0.000018,0.000009
500,0.00024,0.001144,0.000022,0.000013,0.00002,0.000022,0.000014,0.000056,0.00002
750,0.000379,0.001154,0.000035,0.000026,0.000029,0.000032,0.00002,0.000115,0.000033
1000,0.000568,0.000964,0.000051,0.000044,0.000042,0.000045,0.000028,0.000196,0.000046
2500,0.002525,0.000994,0.000139,0.000236,0.000115,0.000122,0.000069,0.001036,0.000134
5000,0.010803,0.001011,0.000311,0.000879,0.000249,0.000259,0.000136,0.003914,0.0003
7500,0.034607,0.001044,0.000473,0.001935,0.000391,0.000405,0.000205,0.008818,0.000477
10000,0.075017,0.001031,0.000662,0.003564,0.000528,0.000563,0.000275,0.01583,0.000687
25000,0.606052,0.001181,0.001781,0.023343,0.001446,0.00149,0.000687,0.093955,0.002016
50000,2.578704,0.001382,0.003797,0.097774,0.003085,0.003162,0.001421,0.374728,0.004348
75000,,0.001611,0.005975,0.215433,0.004856,0.004801,0.002067,0.831122,0.006608
100000,,0.001836,0.008156,0.384785,0.006573,0.006617,0.002698,1.488414,0.009192
250000,,0.003097,0.022964,2.418919,0.0181,0.017843,0.006732,,0.025561
500000,,0.005444,0.04885,,0.037577,0.037379,0.013866,,0.055598
750000,,0.007212,0.075989,,0.058945,0.057799,0.020719,,0.088439
1000000,,0.008915,0.111648,,0.080493,0.078131,0.027747,,0.124053
2500000,,0.016456,0.301868,,0.214656,0.202873,0.072367,,0.352171
5000000,,0.028588,0.729975,,0.447161,0.405748,0.149769,,0.75533
7500000,,0.039438,1.337397,,0.672237,0.600533,0.221049,,1.199505
10000000,,0.050754,2.089768,,0.911315,0.811017,0.298173,,1.650004
25000000,,0.111637,,,2.389816,2.004743,0.75414,,4.610056
50000000,,0.223386,,,4.872011,,1.479511,,
75000000,,0.332592,,,,,,,
100000000,,0.444574,,,,,,,
250000000,,1.077636,,,,,,,
500000000,,2.254912,,,,,,,
