"","Heapsort-1000"
"10","0.000002"
"20","0.000002"
"30","0.000002"
"40","0.000003"
"50","0.000003"
"60","0.000004"
"70","0.000004"
"80","0.000004"
"90","0.000005"
"100","0.000005"
"250","0.000015"
"500","0.000043"
"750","0.000066"
"1000","0.000070"
"2500","0.000193"
"5000","0.000508"
"7500","0.000595"
"10000","0.000890"
"25000","0.002522"
"50000","0.005150"
"75000","0.007835"
"100000","0.010646"
"250000","0.028548"
"500000","0.058381"
"750000","0.090216"
"1000000","0.133159"
"2500000","0.434924"
"5000000","1.076816"
"7500000","1.662867"
"10000000","2.252347"
