"","Heapsort-100"
"10","0.000002"
"20","0.000002"
"30","0.000002"
"40","0.000003"
"50","0.000004"
"60","0.000004"
"70","0.000006"
"80","0.000004"
"90","0.000005"
"100","0.000005"
"250","0.000014"
"500","0.000034"
"750","0.000050"
"1000","0.000065"
"2500","0.000175"
"5000","0.000471"
"7500","0.000577"
"10000","0.000786"
"25000","0.002136"
"50000","0.004599"
"75000","0.006616"
"100000","0.008840"
"250000","0.022592"
"500000","0.047840"
"750000","0.077810"
"1000000","0.120960"
"2500000","0.298515"
"5000000","0.596562"
"7500000","0.866520"
