"","Mergesort-1000000"
"10","0.000008"
"20","0.000010"
"30","0.000005"
"40","0.000004"
"50","0.000004"
"60","0.000005"
"70","0.000005"
"80","0.000007"
"90","0.000024"
"100","0.000011"
"250","0.000018"
"500","0.000056"
"750","0.000110"
"1000","0.000058"
"2500","0.000212"
"5000","0.000446"
"7500","0.000540"
"10000","0.000767"
"25000","0.002408"
"50000","0.004638"
"75000","0.014684"
"100000","0.019930"
"250000","0.042395"
"500000","0.063351"
"750000","0.844777"
"1000000","0.166704"
"2500000","0.372034"
"5000000","0.736060"
"7500000","0.929293"
"10000000","1.350377"
"25000000","3.072086"
"50000000","6.238441"
