"","Quicksort-1000"
"10","0.000002"
"20","0.000002"
"30","0.000002"
"40","0.000002"
"50","0.000005"
"60","0.000004"
"70","0.000007"
"80","0.000007"
"90","0.000005"
"100","0.000011"
"250","0.000015"
"500","0.000049"
"750","0.000058"
"1000","0.000056"
"2500","0.000165"
"5000","0.000348"
"7500","0.000537"
"10000","0.000647"
"25000","0.001892"
"50000","0.003600"
"75000","0.004907"
"100000","0.006965"
"250000","0.016651"
"500000","0.033648"
"750000","0.049198"
"1000000","0.065819"
"2500000","0.164753"
"5000000","0.331651"
"7500000","0.497250"
"10000000","0.665720"
"25000000","1.708074"
