"","Quicksort-100"
"10","0.000006"
"20","0.000003"
"30","0.000003"
"40","0.000031"
"50","0.000007"
"60","0.000006"
"70","0.000007"
"80","0.000007"
"90","0.000011"
"100","0.000009"
"250","0.000029"
"500","0.000292"
"750","0.000072"
"1000","0.000159"
"2500","0.000279"
"5000","0.000435"
"7500","0.000568"
"10000","0.000712"
"25000","0.002138"
"50000","0.003663"
"75000","0.006776"
"100000","0.009533"
"250000","0.020718"
"500000","0.029867"
"750000","0.063275"
"1000000","0.062328"
"2500000","0.176487"
"5000000","0.427210"
"7500000","0.628948"
"10000000","0.836619"
"25000000","1.917004"
