"","Radixsort-1000"
"10","0.000002"
"20","0.000002"
"30","0.000002"
"40","0.000003"
"50","0.000003"
"60","0.000004"
"70","0.000006"
"80","0.000006"
"90","0.000006"
"100","0.000009"
"250","0.000017"
"500","0.000030"
"750","0.000045"
"1000","0.000061"
"2500","0.000145"
"5000","0.000210"
"7500","0.000321"
"10000","0.000423"
"25000","0.001045"
"50000","0.002261"
"75000","0.003191"
"100000","0.004615"
"250000","0.010999"
"500000","0.022992"
"750000","0.033571"
"1000000","0.045117"
"2500000","0.111197"
"5000000","0.217508"
"7500000","0.326775"
"10000000","0.433052"
"25000000","1.075692"
"50000000","2.158400"
"75000000","3.254775"
"100000000","4.327350"
