"","Radixsort-100"
"10","0.000001"
"20","0.000001"
"30","0.000001"
"40","0.000002"
"50","0.000003"
"60","0.000003"
"70","0.000004"
"80","0.000004"
"90","0.000004"
"100","0.000004"
"250","0.000009"
"500","0.000015"
"750","0.000040"
"1000","0.000053"
"2500","0.000088"
"5000","0.000151"
"7500","0.000352"
"10000","0.000364"
"25000","0.000879"
"50000","0.001907"
"75000","0.002679"
"100000","0.003081"
"250000","0.008037"
"500000","0.027411"
"750000","0.032643"
"1000000","0.039112"
"2500000","0.081023"
"5000000","0.146841"
"7500000","0.222136"
"10000000","0.317234"
"25000000","0.733912"
"50000000","1.429534"
