"","Shellsort-1000"
"10","0.000001"
"20","0.000001"
"30","0.000002"
"40","0.000002"
"50","0.000002"
"60","0.000002"
"70","0.000003"
"80","0.000003"
"90","0.000004"
"100","0.000005"
"250","0.000012"
"500","0.000026"
"750","0.000044"
"1000","0.000061"
"2500","0.000174"
"5000","0.000385"
"7500","0.000590"
"10000","0.000830"
"25000","0.002608"
"50000","0.005131"
"75000","0.007764"
"100000","0.014735"
"250000","0.027478"
"500000","0.056340"
"750000","0.084937"
"1000000","0.119004"
"2500000","0.307077"
"5000000","0.619631"
"7500000","0.929573"
"10000000","1.316749"
"25000000","4.377294"
