"","Shellsort-100"
"10","0.000001"
"20","0.000001"
"30","0.000001"
"40","0.000002"
"50","0.000006"
"60","0.000003"
"70","0.000003"
"80","0.000006"
"90","0.000003"
"100","0.000004"
"250","0.000011"
"500","0.000024"
"750","0.000038"
"1000","0.000052"
"2500","0.000223"
"5000","0.000299"
"7500","0.000462"
"10000","0.000678"
"25000","0.001874"
"50000","0.003641"
"75000","0.005569"
"100000","0.007479"
"250000","0.024012"
"500000","0.039742"
"750000","0.059034"
"1000000","0.081587"
"2500000","0.207277"
"5000000","0.423066"
"7500000","0.644091"
"10000000","0.918144"
"25000000","2.331799"
